date,commit,agent,version,scenario,lineup,seeds,rounds,score_mean,score_ci,coins,kills,suicides,bombs,crates,invalid_rate,steps_survived,seeds_won,note
2026-09-02,9adc909,taco_kebab_agent,v1,classic,tournament,900-909,100,0.779,0.038,0.779,0.0,0.0,0.0,0.0,0.019,226.5,0/10,contract table only; 2000 rounds seed 1
2026-09-02,9adc909,taco_kebab_agent,v1,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,contract table only; 2000 rounds seed 1
2026-09-02,9adc909,taco_kebab_agent,v2,classic,tournament,900-909,100,0.764,0.058,0.764,0.0,0.0,0.0,0.0,0.0161,235.0,0/10,+ 4 PLAN.md bomb/danger events; 2000 rounds seed 1
2026-09-02,9adc909,taco_kebab_agent,v2,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,+ 4 PLAN.md bomb/danger events; 2000 rounds seed 1
2026-09-02,57ce8c9,taco_kebab_agent,v2-curriculum,classic,tournament,900-909,100,0.899,0.078,0.899,0.0,0.0,0.0,0.0,0.0167,228.9,0/10,"curriculum coin-heaven->crate-easy->crate-mid->loot-crate->classic, 4000 rounds total"
2026-09-02,57ce8c9,taco_kebab_agent,v2-curriculum,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,"curriculum, 4000 rounds total"
2026-09-02,7821ba5,taco_kebab_agent,v3-forgetting,classic,tournament,900-909,100,0.176,0.026,0.176,0.0,0.003,0.11,0.02,0.089,219.6,0/10,"forget=0.99 + curriculum coin-heaven->crate-easy->crate-mid->loot-crate->classic, 4000 rounds total"
2026-09-02,016f1ad,taco_kebab_agent,v3-forgetting,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328,400.0,,"forget=0.99 + curriculum, 4000 rounds total"
2026-09-02,0083e54,taco_kebab_agent,v4-replay,classic,tournament,900-909,100,0.184,0.028,0.184,0.0,0.0,0.0,0.0,0.0412,180.3,0/10,"replay buffer 20k + refit every 25 rounds + curriculum, 4000 rounds"
2026-09-02,0083e54,taco_kebab_agent,v4-replay,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,400.0,,"replay buffer + curriculum, 4000 rounds total"
2026-09-02,50a1e67,taco_kebab_agent,v4-replay,classic,tournament,900-909,100,0.211,0.02,0.211,0.0,0.002,0.01,0.0,0.0463,233.2,0/10,"replay buffer 20k + refit every 25 rounds + curriculum, 4000 rounds"
2026-09-02,50a1e67,taco_kebab_agent,v4-replay,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,"replay buffer + curriculum, 4000 rounds total"
2026-09-02,d5a47c4,taco_kebab_agent,v5-replay-spanning,classic,tournament,900-909,100,0.472,0.052,0.467,0.001,0.0,0.0,0.0,0.0191,240.1,0/10,replay buffer spanning all 5 stages (corrected); curriculum 4000 rounds; Model A ridge-linear
2026-09-02,d5a47c4,taco_kebab_agent,v5-replay-spanning,classic,solo,900-909,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,,replay buffer spanning all 5 stages (corrected); curriculum 4000 rounds; Model A ridge-linear
2026-09-02,d5a47c4,taco_kebab_agent,v6-model-b,classic,tournament,900-909,100,1.902,0.094,1.387,0.103,0.198,14.74,3.31,0.0986,319.9,0/10,Model B ExtraTrees FQI; same buffer/curriculum/rewards/seeds as v5; only the approximator differs; buffer capped at 250k in stages 4-5
2026-09-02,feac5cc,taco_kebab_agent,v7-model-b-500k,classic,tournament,900-909,100,1.26,0.084,1.07,0.038,0.095,7.68,3.38,0.1256,337.3,0/10,"Model B ExtraTrees FQI, replay cap 500k so nothing is evicted; otherwise identical to v6; matched control v5-replay-spanning"
2026-09-02,bf03e0d,taco_kebab_agent,v7-model-b-500k,classic,solo,900-909,100,0.155,0.036,0.155,0.0,0.0,16.5,2.38,0.0475,400.0,,"Model B ExtraTrees FQI, replay cap 500k so nothing is evicted; otherwise identical to v6; matched control v5-replay-spanning"
2026-09-02,250b544,taco_kebab_agent,v8-model-b-nstep5,classic,tournament,900-909,100,2.065,0.094,1.87,0.039,0.207,6.96,13.52,0.0666,289.0,0/10,"Model B ExtraTrees FQI, n_step=5 spans BOMB_TIMER+EXPLOSION_TIMER=6; otherwise identical to v7"
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-8,classic,tournament,900-909,50,1.292,0.094,1.282,0.002,0.18,1.88,4.86,0.0165,226.3,0/10,multiseed_compare: forest-max-depth arm=depth-8 seed=42
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-12,classic,tournament,900-909,50,1.3,0.13,1.29,0.002,0.16,2.42,5.8,0.1169,253.0,0/10,multiseed_compare: forest-max-depth arm=depth-12 seed=42
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-16,classic,tournament,900-909,50,1.27,0.154,1.26,0.002,0.062,1.8,4.33,0.0736,174.7,0/10,multiseed_compare: forest-max-depth arm=depth-16 seed=42
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-8,classic,tournament,900-909,50,0.894,0.142,0.894,0.0,0.046,1.33,3.28,0.0351,251.4,0/10,multiseed_compare: forest-max-depth arm=depth-8 seed=43
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-12,classic,tournament,900-909,50,1.504,0.116,1.444,0.012,0.146,2.26,5.08,0.1888,259.7,0/10,multiseed_compare: forest-max-depth arm=depth-12 seed=43
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-16,classic,tournament,900-909,50,1.124,0.122,1.114,0.002,0.102,1.76,4.3,0.0762,241.6,0/10,multiseed_compare: forest-max-depth arm=depth-16 seed=43
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-8,classic,tournament,900-909,50,1.194,0.13,1.184,0.002,0.3,2.97,7.54,0.0416,185.4,0/10,multiseed_compare: forest-max-depth arm=depth-8 seed=44
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-12,classic,tournament,900-909,50,1.488,0.122,1.438,0.01,0.172,2.93,6.44,0.0715,233.7,0/10,multiseed_compare: forest-max-depth arm=depth-12 seed=44
2026-09-19,444b954-dirty,taco_kebab_agent,forest-max-depth-depth-16,classic,tournament,900-909,50,1.306,0.17,1.206,0.02,0.272,3.15,7.36,0.1175,185.4,0/10,multiseed_compare: forest-max-depth arm=depth-16 seed=44
